Age,Purchase Amount (USD),Previous Purchases,Category,Location,Season,Subscription Status,Shipping Type,Payment Method,Frequency of Purchases,coupon_prob,recommend_send_coupon,true_coupon_user
70,88,43,Clothing,Arizona,Fall,No,Express,Cash,Bi-Weekly,10.73,0,0
68,47,13,Accessories,Hawaii,Fall,Yes,2-Day Shipping,Bank Transfer,Monthly,99.57,1,1
30,87,40,Clothing,Montana,Fall,No,Next Day Air,Venmo,Quarterly,23.5,0,0
38,30,45,Outerwear,Iowa,Winter,Yes,Express,Cash,Weekly,99.76,1,1
54,94,41,Accessories,North Carolina,Fall,Yes,Free Shipping,PayPal,Every 3 Months,99.66,1,1
20,35,18,Footwear,Maine,Winter,No,Express,Venmo,Fortnightly,12.44,0,1
22,39,47,Clothing,Nevada,Spring,No,Standard,Credit Card,Monthly,23.84,0,0
29,47,17,Accessories,South Dakota,Fall,No,Free Shipping,Debit Card,Bi-Weekly,17.03,0,0
49,82,14,Clothing,Delaware,Fall,No,Next Day Air,PayPal,Monthly,15.69,0,0
52,100,8,Clothing,Delaware,Spring,Yes,Store Pickup,PayPal,Monthly,99.4,1,1
53,27,14,Outerwear,South Dakota,Winter,No,Next Day Air,PayPal,Every 3 Months,28.1,0,0
37,90,47,Accessories,Wyoming,Fall,Yes,Store Pickup,Debit Card,Annually,99.3,1,1
62,97,2,Clothing,California,Winter,No,2-Day Shipping,PayPal,Quarterly,13.24,0,1
41,92,35,Accessories,New Jersey,Fall,No,Free Shipping,Debit Card,Weekly,17.08,0,0
55,22,27,Accessories,Louisiana,Winter,No,Next Day Air,Venmo,Quarterly,25.52,0,0
70,57,42,Accessories,Kentucky,Spring,No,Store Pickup,PayPal,Annually,13.9,0,1
45,24,15,Clothing,Missouri,Summer,No,Express,Venmo,Bi-Weekly,23.7,0,0
27,22,21,Footwear,Wyoming,Winter,No,2-Day Shipping,Debit Card,Weekly,13.11,0,0
24,73,31,Clothing,Utah,Summer,No,Standard,Credit Card,Annually,25.27,0,0
57,65,24,Footwear,New Jersey,Spring,No,Free Shipping,PayPal,Annually,12.26,0,1
19,26,33,Outerwear,Oklahoma,Fall,Yes,Free Shipping,PayPal,Weekly,99.67,1,1
54,98,42,Accessories,West Virginia,Fall,Yes,Free Shipping,Bank Transfer,Quarterly,99.65,1,1
36,82,3,Clothing,Texas,Fall,No,Free Shipping,Debit Card,Quarterly,17.83,0,0
48,68,4,Accessories,Kentucky,Summer,No,Standard,PayPal,Every 3 Months,23.88,0,0
30,91,2,Clothing,Delaware,Summer,No,Free Shipping,Venmo,Every 3 Months,20.39,0,0
59,70,17,Footwear,Louisiana,Spring,No,Free Shipping,Cash,Bi-Weekly,13.41,0,0
44,93,35,Clothing,Utah,Spring,No,Next Day Air,Debit Card,Monthly,31.68,0,0
30,88,13,Accessories,North Dakota,Winter,No,2-Day Shipping,Bank Transfer,Bi-Weekly,19.96,0,1
54,67,42,Accessories,Nebraska,Summer,Yes,Next Day Air,Credit Card,Bi-Weekly,99.67,1,1
43,57,26,Clothing,Alabama,Fall,No,Standard,Credit Card,Quarterly,16.43,0,1
20,100,15,Outerwear,Tennessee,Spring,Yes,Free Shipping,PayPal,Annually,99.59,1,1
43,28,45,Clothing,Maryland,Spring,No,Free Shipping,Venmo,Weekly,32.36,0,0
63,22,42,Clothing,Mississippi,Summer,Yes,Next Day Air,Venmo,Bi-Weekly,99.85,1,1
60,63,18,Accessories,Virginia,Fall,No,Next Day Air,Credit Card,Quarterly,13.26,0,0
57,67,48,Clothing,North Carolina,Summer,Yes,Next Day Air,Bank Transfer,Quarterly,99.76,1,1
69,62,3,Accessories,Pennsylvania,Fall,No,Express,Credit Card,Annually,15.25,0,0
68,23,43,Footwear,Nevada,Winter,No,Standard,PayPal,Quarterly,18.67,0,1
53,93,33,Clothing,Delaware,Spring,Yes,Store Pickup,PayPal,Every 3 Months,99.55,1,1
26,28,17,Clothing,Florida,Winter,No,Express,Debit Card,Weekly,20.03,0,0
25,95,33,Accessories,Texas,Winter,No,2-Day Shipping,Venmo,Monthly,22.09,0,1
52,73,15,Footwear,Oklahoma,Winter,Yes,2-Day Shipping,Bank Transfer,Bi-Weekly,99.54,1,1
42,25,10,Accessories,Connecticut,Fall,No,Express,Debit Card,Bi-Weekly,11.76,0,0
36,39,38,Accessories,Montana,Summer,No,Store Pickup,Venmo,Monthly,19.28,0,0
25,87,15,Clothing,Vermont,Fall,No,2-Day Shipping,Debit Card,Weekly,16.66,0,0
22,84,40,Footwear,Pennsylvania,Winter,No,Next Day Air,Debit Card,Monthly,24.24,0,1
40,50,17,Footwear,Texas,Spring,No,Free Shipping,Cash,Monthly,16.34,0,1
42,36,47,Clothing,Virginia,Fall,No,Free Shipping,Credit Card,Fortnightly,9.96,0,0
41,80,17,Clothing,Delaware,Summer,Yes,Free Shipping,Debit Card,Weekly,99.46,1,1
22,79,23,Clothing,West Virginia,Summer,Yes,Free Shipping,Bank Transfer,Every 3 Months,99.71,1,1
67,73,20,Clothing,Illinois,Spring,No,Express,Bank Transfer,Monthly,15.94,0,1
62,50,40,Clothing,Louisiana,Fall,No,Free Shipping,Bank Transfer,Bi-Weekly,12.59,0,0
42,96,41,Accessories,Alabama,Summer,No,2-Day Shipping,Credit Card,Every 3 Months,19.02,0,0
28,95,14,Clothing,Colorado,Winter,No,Next Day Air,Bank Transfer,Monthly,16.26,0,1
39,25,21,Clothing,Ohio,Fall,No,Standard,PayPal,Every 3 Months,27.06,0,0
60,41,2,Clothing,Washington,Spring,No,Express,Debit Card,Monthly,18.9,0,0
60,25,13,Accessories,Alabama,Summer,No,Store Pickup,Venmo,Bi-Weekly,15.74,0,0
52,88,30,Clothing,Montana,Fall,No,Standard,Venmo,Monthly,18.64,0,0
27,52,28,Accessories,Illinois,Summer,No,Standard,Venmo,Monthly,26.86,0,0
19,97,5,Clothing,Rhode Island,Spring,No,Express,Venmo,Quarterly,18.12,0,1
19,52,41,Clothing,Montana,Spring,Yes,Free Shipping,Bank Transfer,Quarterly,99.6,1,1
27,42,47,Accessories,Maryland,Spring,Yes,Next Day Air,Credit Card,Quarterly,99.87,1,1
28,26,18,Clothing,Tennessee,Spring,Yes,2-Day Shipping,Debit Card,Every 3 Months,99.72,1,1
18,100,24,Clothing,South Dakota,Winter,No,Next Day Air,PayPal,Annually,18.59,0,1
40,61,36,Clothing,Illinois,Summer,No,Next Day Air,Cash,Quarterly,27.31,0,0
55,96,7,Accessories,Washington,Summer,No,Next Day Air,Bank Transfer,Bi-Weekly,26.24,0,0
62,39,31,Clothing,Vermont,Spring,Yes,Standard,Credit Card,Bi-Weekly,99.65,1,1
68,46,38,Accessories,Ohio,Summer,No,2-Day Shipping,Debit Card,Fortnightly,28.19,0,1
54,44,11,Clothing,Kentucky,Winter,No,Express,Credit Card,Weekly,12.89,0,0
43,29,7,Accessories,North Dakota,Spring,Yes,Store Pickup,Debit Card,Bi-Weekly,99.64,1,1
58,80,28,Outerwear,California,Fall,Yes,Express,Cash,Bi-Weekly,99.29,1,1
18,73,27,Clothing,Illinois,Spring,Yes,Standard,Venmo,Bi-Weekly,99.73,1,1
27,71,29,Clothing,Maine,Spring,No,Free Shipping,Credit Card,Every 3 Months,16.62,0,0
19,94,31,Clothing,Washington,Fall,No,Express,PayPal,Monthly,16.03,0,0
55,20,43,Clothing,Montana,Winter,No,Next Day Air,Bank Transfer,Weekly,19.23,0,0
62,45,37,Accessories,Oklahoma,Spring,No,Express,PayPal,Weekly,23.3,0,0
55,67,33,Accessories,Massachusetts,Summer,No,Store Pickup,PayPal,Annually,16.72,0,1
34,41,19,Clothing,West Virginia,Fall,Yes,2-Day Shipping,Debit Card,Bi-Weekly,99.59,1,1
59,75,9,Outerwear,Texas,Summer,No,Next Day Air,PayPal,Quarterly,28.43,0,0
38,96,10,Accessories,Alabama,Summer,Yes,Store Pickup,Debit Card,Annually,99.31,1,1
25,78,38,Clothing,California,Spring,Yes,Store Pickup,PayPal,Monthly,99.37,1,1
68,57,8,Clothing,Mississippi,Fall,No,2-Day Shipping,Bank Transfer,Monthly,23.8,0,0
26,82,38,Clothing,Idaho,Spring,Yes,Next Day Air,Credit Card,Annually,99.71,1,1
67,81,25,Clothing,South Carolina,Spring,No,Free Shipping,Cash,Bi-Weekly,20.42,0,0
26,73,33,Accessories,Connecticut,Fall,No,Next Day Air,Debit Card,Monthly,17.58,0,0
31,21,30,Accessories,Michigan,Winter,Yes,Standard,Venmo,Monthly,99.68,1,1
21,24,32,Accessories,Alaska,Fall,No,Standard,Venmo,Fortnightly,32.76,0,0
60,62,41,Clothing,Washington,Summer,Yes,Express,PayPal,Annually,99.46,1,1
53,74,6,Accessories,New Jersey,Winter,No,Free Shipping,Venmo,Bi-Weekly,19.08,0,0
26,48,25,Clothing,South Carolina,Fall,No,Express,Cash,Every 3 Months,20.31,0,0
33,77,1,Clothing,Kansas,Spring,No,Next Day Air,PayPal,Every 3 Months,20.61,0,0
25,56,18,Accessories,Alabama,Summer,No,Next Day Air,Credit Card,Quarterly,22.3,0,0
57,23,31,Accessories,New York,Summer,No,Free Shipping,Debit Card,Every 3 Months,27.06,0,1
18,32,10,Accessories,Nebraska,Fall,No,Express,Cash,Fortnightly,17.82,0,0
