Season,Location,Item Purchased,sales_count,total_revenue,avg_revenue,rank_in_season_region,sales_share_in_season_region_%
Fall,Alabama,Skirt,4,220,55.0,1.0,16.67
Fall,Alabama,Jewelry,3,175,58.333333333333336,2.0,12.5
Fall,Alabama,Dress,2,100,50.0,3.0,8.33
Fall,Alabama,Hoodie,2,130,65.0,3.0,8.33
Fall,Alabama,Pants,2,107,53.5,3.0,8.33
Fall,Alabama,Backpack,1,74,74.0,4.0,4.17
Fall,Alabama,Belt,1,29,29.0,4.0,4.17
Fall,Alabama,Boots,1,83,83.0,4.0,4.17
Fall,Alabama,Coat,1,56,56.0,4.0,4.17
Fall,Alabama,Jacket,1,65,65.0,4.0,4.17
Fall,Alabama,Jeans,1,41,41.0,4.0,4.17
Fall,Alabama,Shirt,1,22,22.0,4.0,4.17
Fall,Alabama,Shoes,1,26,26.0,4.0,4.17
Fall,Alabama,Shorts,1,46,46.0,4.0,4.17
Fall,Alabama,Socks,1,88,88.0,4.0,4.17
Fall,Alabama,Sweater,1,25,25.0,4.0,4.17
Fall,Alaska,Backpack,2,123,61.5,1.0,13.33
Fall,Alaska,Sandals,2,191,95.5,1.0,13.33
Fall,Alaska,Scarf,2,96,48.0,1.0,13.33
Fall,Alaska,Belt,1,39,39.0,2.0,6.67
Fall,Alaska,Dress,1,83,83.0,2.0,6.67
Fall,Alaska,Handbag,1,47,47.0,2.0,6.67
Fall,Alaska,Hat,1,89,89.0,2.0,6.67
Fall,Alaska,Jacket,1,55,55.0,2.0,6.67
Fall,Alaska,Shorts,1,97,97.0,2.0,6.67
Fall,Alaska,Skirt,1,82,82.0,2.0,6.67
Fall,Alaska,Sneakers,1,96,96.0,2.0,6.67
Fall,Alaska,Sunglasses,1,90,90.0,2.0,6.67
Fall,Arizona,Sweater,3,230,76.66666666666667,1.0,16.67
Fall,Arizona,Hoodie,2,178,89.0,2.0,11.11
Fall,Arizona,Scarf,2,107,53.5,2.0,11.11
Fall,Arizona,Backpack,1,29,29.0,3.0,5.56
Fall,Arizona,Belt,1,84,84.0,3.0,5.56
Fall,Arizona,Blouse,1,72,72.0,3.0,5.56
Fall,Arizona,Coat,1,100,100.0,3.0,5.56
Fall,Arizona,Dress,1,90,90.0,3.0,5.56
Fall,Arizona,Handbag,1,57,57.0,3.0,5.56
Fall,Arizona,Jewelry,1,67,67.0,3.0,5.56
Fall,Arizona,Skirt,1,96,96.0,3.0,5.56
Fall,Arizona,Sneakers,1,100,100.0,3.0,5.56
Fall,Arizona,Socks,1,78,78.0,3.0,5.56
Fall,Arizona,T-shirt,1,62,62.0,3.0,5.56
Fall,Arkansas,Gloves,2,66,33.0,1.0,10.53
Fall,Arkansas,Jeans,2,137,68.5,1.0,10.53
Fall,Arkansas,Sandals,2,124,62.0,1.0,10.53
Fall,Arkansas,Shoes,2,65,32.5,1.0,10.53
Fall,Arkansas,Sweater,2,113,56.5,1.0,10.53
Fall,Arkansas,Backpack,1,97,97.0,2.0,5.26
Fall,Arkansas,Belt,1,51,51.0,2.0,5.26
Fall,Arkansas,Dress,1,97,97.0,2.0,5.26
Fall,Arkansas,Jacket,1,32,32.0,2.0,5.26
Fall,Arkansas,Pants,1,59,59.0,2.0,5.26
Fall,Arkansas,Scarf,1,99,99.0,2.0,5.26
Fall,Arkansas,Shirt,1,76,76.0,2.0,5.26
Fall,Arkansas,Socks,1,23,23.0,2.0,5.26
Fall,Arkansas,T-shirt,1,36,36.0,2.0,5.26
Fall,California,Jewelry,4,243,60.75,1.0,14.81
Fall,California,Jacket,3,193,64.33333333333333,2.0,11.11
Fall,California,Backpack,2,174,87.0,3.0,7.41
Fall,California,Hoodie,2,80,40.0,3.0,7.41
Fall,California,Jeans,2,175,87.5,3.0,7.41
Fall,California,Shorts,2,157,78.5,3.0,7.41
Fall,California,Skirt,2,141,70.5,3.0,7.41
Fall,California,Belt,1,64,64.0,4.0,3.7
Fall,California,Blouse,1,22,22.0,4.0,3.7
Fall,California,Boots,1,96,96.0,4.0,3.7
Fall,California,Coat,1,31,31.0,4.0,3.7
Fall,California,Dress,1,63,63.0,4.0,3.7
Fall,California,Handbag,1,22,22.0,4.0,3.7
Fall,California,Hat,1,31,31.0,4.0,3.7
Fall,California,Pants,1,40,40.0,4.0,3.7
Fall,California,Sweater,1,33,33.0,4.0,3.7
Fall,California,T-shirt,1,94,94.0,4.0,3.7
Fall,Colorado,Pants,2,114,57.0,1.0,16.67
Fall,Colorado,Shoes,2,141,70.5,1.0,16.67
Fall,Colorado,Skirt,2,57,28.5,1.0,16.67
Fall,Colorado,Backpack,1,57,57.0,2.0,8.33
Fall,Colorado,Coat,1,46,46.0,2.0,8.33
Fall,Colorado,Hoodie,1,24,24.0,2.0,8.33
