attribute,value,rating,count,percentage
Category,Clothing,1,0,0.0
Category,Clothing,2,0,0.0
Category,Clothing,3,78,4.49
Category,Clothing,4,76,4.38
Category,Clothing,5,32,1.84
Category,Accessories,1,0,0.0
Category,Accessories,2,0,0.0
Category,Accessories,3,52,4.19
Category,Accessories,4,57,4.6
Category,Accessories,5,21,1.69
Category,Footwear,1,0,0.0
Category,Footwear,2,0,0.0
Category,Footwear,3,25,4.17
Category,Footwear,4,33,5.51
Category,Footwear,5,9,1.5
Category,Outerwear,1,0,0.0
Category,Outerwear,2,0,0.0
Category,Outerwear,3,7,2.16
Category,Outerwear,4,15,4.63
Category,Outerwear,5,6,1.85
