attribute,value,rating,count,percentage
Location,Montana,1,0,0.0
Location,Montana,2,0,0.0
Location,Montana,3,4,4.17
Location,Montana,4,7,7.29
Location,Montana,5,3,3.12
Location,California,1,0,0.0
Location,California,2,0,0.0
Location,California,3,7,7.37
Location,California,4,7,7.37
Location,California,5,4,4.21
Location,Idaho,1,0,0.0
Location,Idaho,2,0,0.0
Location,Idaho,3,3,3.23
Location,Idaho,4,6,6.45
Location,Idaho,5,3,3.23
Location,Illinois,1,0,0.0
Location,Illinois,2,0,0.0
Location,Illinois,3,4,4.35
Location,Illinois,4,1,1.09
Location,Illinois,5,1,1.09
Location,Alabama,1,0,0.0
Location,Alabama,2,0,0.0
Location,Alabama,3,2,2.25
Location,Alabama,4,2,2.25
Location,Alabama,5,2,2.25
Location,Minnesota,1,0,0.0
Location,Minnesota,2,0,0.0
Location,Minnesota,3,4,4.55
Location,Minnesota,4,2,2.27
Location,Minnesota,5,1,1.14
