attribute,value,rating,count,percentage
Season,Spring,1,0,0.0
Season,Spring,2,0,0.0
Season,Spring,3,37,3.7
Season,Spring,4,50,5.01
Season,Spring,5,25,2.5
Season,Fall,1,0,0.0
Season,Fall,2,0,0.0
Season,Fall,3,41,4.21
Season,Fall,4,49,5.03
Season,Fall,5,17,1.74
Season,Winter,1,0,0.0
Season,Winter,2,0,0.0
Season,Winter,3,43,4.43
Season,Winter,4,41,4.22
Season,Winter,5,14,1.44
Season,Summer,1,0,0.0
Season,Summer,2,0,0.0
Season,Summer,3,41,4.29
Season,Summer,4,41,4.29
Season,Summer,5,12,1.26
