feature,importance,importance_pct
Purchase Amount (USD),0.1886989904529487,18.87
Season_Spring,0.0189843803376532,1.9
Frequency of Purchases_Bi-Weekly,0.018984112097497032,1.9
Season_Winter,0.018494239203113227,1.85
Frequency of Purchases_Annually,0.01779178120436051,1.78
Season_Summer,0.017647299996040144,1.76
Season_Fall,0.017539022560338544,1.75
Frequency of Purchases_Every 3 Months,0.017288190832097348,1.73
Frequency of Purchases_Weekly,0.01710061181861352,1.71
Shipping Type_Free Shipping,0.01703678351295297,1.7
Frequency of Purchases_Monthly,0.016924418815084278,1.69
Frequency of Purchases_Fortnightly,0.016755130639498707,1.68
Category_Clothing,0.01673999394416861,1.67
Frequency of Purchases_Quarterly,0.01627556103541162,1.63
Category_Accessories,0.015966828389952323,1.6
Shipping Type_Express,0.015451527866203331,1.55
Shipping Type_2-Day Shipping,0.01524203594548236,1.52
Shipping Type_Next Day Air,0.015201719880760942,1.52
Category_Footwear,0.014416346129426853,1.44
Shipping Type_Store Pickup,0.014214871203374991,1.42
